"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 21, 2019","81.7878","81.5986","81.8750","81.5439","-","0.13%"
"Feb 20, 2019","81.6821","81.4641","81.8110","81.0860","-","0.48%"
"Feb 19, 2019","81.2942","81.1193","81.3327","80.9724","-","0.42%"
"Feb 15, 2019","80.9569","80.0425","80.9639","79.9835","-","1.25%"
"Feb 14, 2019","79.9611","80.1352","80.5106","79.6882","-","-0.25%"
"Feb 13, 2019","80.1641","80.2090","80.3939","79.9246","-","0.08%"
"Feb 12, 2019","80.0973","79.8683","80.3066","79.7630","-","0.55%"
"Feb 11, 2019","79.6555","79.9816","80.0945","79.4700","-","-0.51%"
"Feb 08, 2019","80.0655","79.9778","80.3972","79.8297","-","0.03%"
"Feb 07, 2019","80.0391","80.8530","80.9004","79.8220","-","-1.17%"
"Feb 06, 2019","80.9856","80.9997","81.0866","80.6167","-","0.13%"
"Feb 05, 2019","80.8806","81.2030","81.2581","80.8132","-","-0.27%"
"Feb 04, 2019","81.1004","80.9752","81.1935","80.2753","-","0.17%"
"Feb 01, 2019","80.9650","80.6301","81.1637","80.4709","-","0.30%"
"Jan 31, 2019","80.7252","81.1826","81.6194","80.6867","-","-0.19%"
"Jan 30, 2019","80.8822","80.5615","81.1392","80.4435","-","0.47%"
"Jan 29, 2019","80.5004","79.8854","80.5548","79.8630","-","0.79%"
"Jan 28, 2019","79.8671","80.5474","80.5817","79.7479","-","-1.48%"
"Jan 25, 2019","81.0693","80.5186","81.1144","80.1184","-","1.07%"
"Jan 24, 2019","80.2096","80.0749","80.4513","79.7666","-","0.17%"
"Jan 23, 2019","80.0749","80.2879","80.7668","79.9188","-","-0.02%"
"Jan 22, 2019","80.0891","80.6707","80.7597","79.8095","-","-1.59%"
"Jan 18, 2019","81.3791","80.5983","81.3924","80.3509","-","1.15%"
"Jan 17, 2019","80.4502","80.2523","80.6103","79.8520","-","0.24%"
"Jan 16, 2019","80.2592","80.1763","80.7027","80.0644","-","0.19%"
"Jan 15, 2019","80.1043","80.2708","80.4917","79.8819","-","0.25%"
"Jan 14, 2019","79.9021","79.8244","80.1379","79.3815","-","0.30%"
"Jan 11, 2019","79.6614","79.7342","80.1226","79.3096","-","0.22%"
"Jan 10, 2019","79.4890","79.8248","80.0312","79.3826","-","-0.53%"
"Jan 09, 2019","79.9122","79.3650","80.0053","79.2625","-","1.22%"
"Jan 08, 2019","78.9489","78.6191","79.2393","78.5100","-","0.48%"
"Jan 07, 2019","78.5743","78.3937","79.0344","78.3412","-","0.31%"
"Jan 04, 2019","78.3352","77.4848","78.4898","77.4729","-","1.14%"
"Jan 03, 2019","77.4544","76.8768","77.4851","76.6194","-","0.61%"
"Jan 02, 2019","76.9851","76.8777","77.7483","76.2729","-","0.35%"
"Dec 31, 2018","76.7154","77.5260","77.6850","76.6127","-","-1.13%"
"Dec 28, 2018","77.5922","78.1304","78.1906","77.4417","-","-0.27%"
"Dec 27, 2018","77.8029","78.1792","78.3269","77.6106","-","-0.53%"
"Dec 26, 2018","78.2144","77.3931","78.2820","77.0760","-","1.30%"
"Dec 24, 2018","77.2127","78.8411","78.9375","77.1847","-","-1.88%"
"Dec 21, 2018","78.6952","79.2586","79.2787","78.3595","-","-0.14%"
"Dec 20, 2018","78.8092","79.5291","80.0438","78.8053","-","-1.43%"
"Dec 19, 2018","79.9565","79.6185","79.9974","79.2589","-","0.35%"
"Dec 18, 2018","79.6797","80.2666","80.3998","79.5496","-","-0.73%"
"Dec 17, 2018","80.2648","80.9813","81.2283","80.1881","-","-1.23%"
"Dec 14, 2018","81.2656","82.1582","82.2137","81.2290","-","-1.51%"
"Dec 13, 2018","82.5144","82.2219","82.5509","81.9005","-","0.40%"
"Dec 12, 2018","82.1853","82.8228","82.9504","82.1437","-","-0.53%"
"Dec 11, 2018","82.6215","82.8158","83.1059","82.3700","-","-0.13%"
"Dec 10, 2018","82.7296","83.6999","83.7086","82.6965","-","-0.91%"
"Dec 07, 2018","83.4889","82.2251","84.0406","82.0120","-","1.48%"
"Dec 06, 2018","82.2713","83.0130","83.1610","81.6816","-","-1.31%"
"Dec 05, 2018","83.3596","83.3463","83.7958","83.1369","-","-0.05%"
"Dec 04, 2018","83.4006","83.2237","83.9090","83.1697","-","0.54%"
